Attending a national conference of RSE/RSD for United States,Count,Percentage,Percentage in 2018,Difference with previous year
Yes,106,86.1788617886179,76.66666666666667,9.512195121951223
No,17,13.821138211382115,23.333333333333332,-9.512195121951217
