Top reason to choose current job for Australia,Count,Percentage,Percentage in 2018,Difference with previous year
Desire to work in a research environment,9,29.03225806451613,28.57142857142857,0.46082949308756227
Desire to advance research,8,25.806451612903224,15.306122448979592,10.500329163923633
Freedom to choose own working practices,6,19.35483870967742,17.346938775510203,2.0078999341672166
The salary,4,12.903225806451612,1.0204081632653061,11.882817643186305
I want to learn new skills,3,9.67741935483871,7.142857142857142,2.5345622119815676
Opportunity to develop software,1,3.225806451612903,12.244897959183673,-9.01909150757077
