Highest level of education for United States,Count,Percentage,Percentage in 2018,Difference with previous year
Doctorate,84,52.5,45.57823129251701,6.92176870748299
Undergraduate degree,36,22.5,22.448979591836736,0.051020408163264364
Master degree,36,22.5,31.292517006802722,-8.792517006802722
Associate degree (typically from a community college),1,0.625,,
None,1,0.625,,
High School,1,0.625,,
Other,1,0.625,0.6802721088435374,-0.05527210884353739
