What is important for such organisation for South Africa,Count,Percentage,Percentage in 2017,Difference with previous year
Job opportunities,8,34.78260869565217,10.526315789473683,24.256292906178487
Networking,7,30.434782608695656,21.052631578947366,9.38215102974829
Research collaborations,7,30.434782608695656,21.052631578947366,9.38215102974829
Training,7,30.434782608695656,10.526315789473683,19.90846681922197
Research software standards and interoperability definition,7,30.434782608695656,15.789473684210526,14.64530892448513
