Operating systems for Australia,Count,Percentage,Percentage in 2018,Difference with previous year
GNU/Linux,18,58.06451612903226,60.0,-1.9354838709677367
macOS,7,22.58064516129032,,
Windows,5,16.129032258064516,17.647058823529413,-1.518026565464897
Other,1,3.225806451612903,2.3529411764705883,0.8728652751423147
