index,socio1. In which country do you work?
Germany,333
United Kingdom,237
United States,147
Australia,99
Netherlands,54
New Zealand,37
South Africa,23
Czech Republic,6
Norway,6
France,5
Italy,4
Spain,4
Belgium,3
Brazil,3
Denmark,3
Botswana,2
Ireland,2
Sweden,2
Switzerland,2
Benin,1
Ethiopia,1
Greece,1
India,1
Japan,1
Malawi,1
Mauritius,1
Nigeria,1
Poland,1
Portugal,1
Russian Federation,1
Saudi Arabia,1
Turkey,1
