What is important for such organisation for United Kingdom,Count,Percentage
Networking,46,19.491525423728813
Job opportunities,38,16.101694915254235
Training,37,15.677966101694915
Research software standards and interoperability definition,37,15.677966101694915
Research collaborations,31,13.135593220338984
