developing code for others for Australia,Count,Percentage,Percentage in 2018,Difference with previous year
0 - Mostly me,3,10.0,7.07070707070707,2.92929292929293
1,6,20.0,15.151515151515152,4.848484848484848
2,5,16.666666666666664,14.14141414141414,2.525252525252524
3,1,3.3333333333333335,19.19191919191919,-15.858585858585856
4,6,20.0,19.19191919191919,0.8080808080808097
5 - Mostly other people,9,30.0,25.252525252525253,4.747474747474747
