Type of funding for South Africa,Count,Percentage,Percentage in 2018,Difference with previous year
Grants,2.0,100.0,30.434782608695656,69.56521739130434
I volunteer my time,0.0,0.0,47.82608695652174,-47.82608695652174
Institutional support,0.0,0.0,43.47826086956522,-43.47826086956522
Membership,0.0,0.0,4.3478260869565215,-4.3478260869565215
Consulting & services,0.0,0.0,13.043478260869565,-13.043478260869565
