Bus factor for Netherlands,Count,Percentage,Percentage in 2018,Difference with previous year
1.0,33,56.896551724137936,52.94117647058824,3.955375253549697
1.3,1,1.7241379310344827,,
1.5,1,1.7241379310344827,,
2.0,18,31.03448275862069,33.33333333333333,-2.298850574712638
3.0,3,5.172413793103448,7.8431372549019605,-2.670723461798512
4.0,1,1.7241379310344827,1.9607843137254901,-0.23664638269100746
10.0,1,1.7241379310344827,3.9215686274509802,-2.1974306964164976
