Operating systems for United Kingdom,Count,Percentage,Percentage in 2018,Difference with previous year
GNU/Linux,83,58.04195804195804,61.46341463414634,-3.4214565921882993
macOS,43,30.069930069930066,,
Windows,17,11.888111888111888,18.048780487804876,-6.160668599692988
