Attending a national conference of RSE/RSD for Netherlands,Count,Percentage,Percentage in 2018,Difference with previous year
Yes,43,84.31372549019608,93.47826086956522,-9.164535379369141
No,8,15.686274509803921,6.521739130434782,9.164535379369138
