developing code for others for New Zealand,Count,Percentage,Percentage in 2018,Difference with previous year
0 - Mostly me,2,7.6923076923076925,2.7027027027027026,4.98960498960499
1,1,3.8461538461538463,8.108108108108109,-4.261954261954262
2,4,15.384615384615385,16.216216216216218,-0.8316008316008325
3,6,23.076923076923077,24.324324324324326,-1.2474012474012497
4,5,19.230769230769234,16.216216216216218,3.014553014553016
5 - Mostly other people,8,30.76923076923077,32.432432432432435,-1.663201663201665
