developing code for others for Germany,Count,Percentage,Percentage in 2018,Difference with previous year
0 - Mostly me,21,8.536585365853659,9.00900900900901,-0.47242364315535035
1,40,16.260162601626014,16.516516516516518,-0.25635391489050363
2,47,19.10569105691057,19.81981981981982,-0.714128762909251
3,42,17.073170731707318,18.91891891891892,-1.8457481872116013
4,51,20.73170731707317,16.816816816816818,3.9148905002563517
5 - Mostly other people,45,18.29268292682927,18.91891891891892,-0.6262359920896508
