Use of version control for New Zealand,Count,Percentage,Percentage in 2018,Difference with previous year
Git,25.0,89.28571428571429,89.1891891891892,0.09652509652509877
SVN,3.0,10.714285714285714,24.324324324324326,-13.610038610038613
None,1.0,3.571428571428571,0.0,3.571428571428571
Mercurial,0.0,0.0,2.7027027027027026,-2.7027027027027026
