developing code for others for World,Count,Percentage,Percentage in 2018,Difference with previous year
0 - Mostly me,72,7.667731629392971,6.834170854271357,0.8335607751216143
1,105,11.182108626198083,13.467336683417086,-2.285228057219003
2,141,15.015974440894569,17.68844221105528,-2.6724677701607096
3,187,19.914802981895633,18.190954773869347,1.7238482080262862
4,187,19.914802981895633,17.889447236180906,2.0253557457147267
5 - Mostly other people,247,26.304579339723112,25.92964824120603,0.37493109851708084
