Nature of employment for Canada,Count,Percentage,Percentage in 2018,Difference with previous year
Permanent -- funded by Institution core funding,5,45.45454545454545,54.54545454545454,-9.090909090909086
Fixed term -- funded by project funds,4,36.36363636363637,18.181818181818183,18.181818181818183
Permanent -- funded by project funds,1,9.090909090909092,,
Fixed term -- funded by Institution core funding,1,9.090909090909092,9.090909090909092,0.0
