What is important for such an organisation for World,Count,Percentage,Percentage in 2018,Difference with previous year
Networking,492.0,49.34804413239719,27.43718592964824,21.91085820274895
Research software standards and interoperability definition,359.0,36.00802407221665,24.020100502512562,11.987923569704087
Job opportunities,319.0,31.995987963891675,20.402010050251256,11.593977913640419
Training,313.0,31.39418254764293,22.110552763819097,9.283629783823834
Research collaborations,274.0,27.482447342026077,21.708542713567837,5.77390462845824
other. What would you hope to get out of such an organisation (check all that apply)? ,48.0,4.814443329989969,0.0,4.814443329989969
