Where the previous job was based for New Zealand,Count,Percentage,Percentage in 2018,Difference with previous year
University,12,48.0,40.0,8.0
Government,5,20.0,14.285714285714285,5.714285714285715
Non-profit organization,4,16.0,11.428571428571429,4.571428571428571
Private company,3,12.0,22.857142857142858,-10.857142857142858
This is my first job,1,4.0,,
