Number of time per year providing training for Netherlands (without 95 percentile),Results in 2022,Results in 2018
count,55.0,47.0
mean,1.4727272727272727,1.2553191489361701
std,1.8743348988724808,1.5529506992144226
min,0.0,0.0
25%,0.0,0.0
50%,1.0,1.0
75%,2.0,2.0
max,7.0,5.0
