Highest level of education for Germany,Count,Percentage,Percentage in 2018,Difference with previous year
Master degree,121,46.89922480620155,50.750750750750754,-3.851525944549202
Doctorate,118,45.73643410852713,39.93993993993994,5.796494168587188
Undergraduate degree,10,3.875968992248062,5.7057057057057055,-1.8297367134576437
"Final secondary-school examinations, general qualification for university entrance",5,1.937984496124031,2.1021021021021022,-0.16411760597807135
Other,4,1.550387596899225,1.2012012012012012,0.3491863956980237
