Operating systems for New Zealand,Count,Percentage,Percentage in 2018,Difference with previous year
GNU/Linux,20,76.92307692307693,67.64705882352942,9.276018099547514
Windows,4,15.384615384615385,14.705882352941178,0.6787330316742075
macOS,2,7.6923076923076925,,
