Top reason to choose current job for New Zealand,Count,Percentage,Percentage in 2018,Difference with previous year
Desire to advance research,5,19.230769230769234,13.88888888888889,5.341880341880344
Desire to work in a research environment,4,15.384615384615385,22.22222222222222,-6.837606837606836
The salary,3,11.538461538461538,8.333333333333332,3.205128205128206
Flexible working hours,3,11.538461538461538,2.7777777777777777,8.760683760683762
Opportunity to develop software,3,11.538461538461538,13.88888888888889,-2.350427350427351
Freedom to choose own working practices,3,11.538461538461538,22.22222222222222,-10.683760683760683
I want to learn new skills,3,11.538461538461538,5.555555555555555,5.982905982905983
Ability to work across disciplines,1,3.8461538461538463,5.555555555555555,-1.709401709401709
Opportunity for career advancement,1,3.8461538461538463,5.555555555555555,-1.709401709401709
