Top reason to choose current job for World,Count,Percentage,Percentage in 2018,Difference with previous year
Desire to work in a research environment,208,24.732461355529132,25.222222222222225,-0.4897608666930928
Desire to advance research,156,18.549346016646847,19.0,-0.45065398335315265
Freedom to choose own working practices,154,18.311533888228297,16.88888888888889,1.4226449993394077
Opportunity to develop software,110,13.079667063020214,11.444444444444445,1.635222618575769
Opportunity for career advancement,54,6.4209274673008325,6.555555555555556,-0.13462808825472372
I want to learn new skills,54,6.4209274673008325,9.555555555555555,-3.134628088254723
Ability to work across disciplines,45,5.35077288941736,3.111111111111111,2.239661778306249
Flexible working hours,36,4.280618311533888,4.333333333333334,-0.05271502179944587
The salary,24,2.853745541022592,3.888888888888889,-1.0351433478662968
