Working with same researchers for New Zealand,Count,Percentage,Percentage in 2018,Difference with previous year
"Different researchers, same research group",6,23.076923076923077,8.823529411764707,14.25339366515837
Regularly change researcher(s),13,50.0,41.17647058823529,8.82352941176471
Same researcher(s),7,26.923076923076923,50.0,-23.076923076923077
