Number of time per year providing training for Australia (without 95 percentile),Results in 2022,Results in 2018
count,28.0,83.0
mean,2.75,2.0903614457831323
std,3.4707774772082836,2.5484866125026433
min,0.0,0.0
25%,0.0,0.0
50%,2.0,1.0
75%,3.25,3.0
max,15.0,10.0
