Use of version control for United States,Count,Percentage,Percentage in 2018,Difference with previous year
Git,136.0,85.0,91.15646258503402,-6.156462585034021
SVN,8.0,5.0,14.965986394557824,-9.965986394557824
CVS,4.0,2.5,6.122448979591836,-3.6224489795918364
None,4.0,2.5,3.4013605442176873,-0.9013605442176873
Mercurial,2.0,1.25,4.081632653061225,-2.8316326530612246
