Attending a national conference of RSE/RSD for United Kingdom,Count,Percentage,Percentage in 2018,Difference with previous year
Yes,115,87.78625954198473,85.02673796791443,2.7595215740703054
No,16,12.213740458015266,14.973262032085561,-2.7595215740702947
