Official job title for United Kingdom,Count,Percentage
Research Software Engineer,29,18.83116883116883
Senior Research Software Engineer,14,9.090909090909092
Research Associate,5,3.2467532467532463
Research Fellow,3,1.948051948051948
Research Assistant,3,1.948051948051948
Head of Research Software Engineering,3,1.948051948051948
Senior Research Scientist,3,1.948051948051948
Computational Scientist,3,1.948051948051948
Assistant Professor,2,1.2987012987012987
Senior Research Software Developer,2,1.2987012987012987
Applications Consultant,2,1.2987012987012987
Professor,2,1.2987012987012987
RSE,2,1.2987012987012987
Lecturer,2,1.2987012987012987
Senior Research Fellow,2,1.2987012987012987
Senior Scientific Software Engineer,2,1.2987012987012987
Software Architect,2,1.2987012987012987
Postdoctoral Research Associate,2,1.2987012987012987
Software Developer for Telescope Control,1,0.6493506493506493
Software Developer,1,0.6493506493506493
Senior Systems Developer,1,0.6493506493506493
Reseach Software Engineer,1,0.6493506493506493
research software engineer,1,0.6493506493506493
Postdoctoral researcher,1,0.6493506493506493
Senior Enterprise Fellow,1,0.6493506493506493
Principal Enterprise Fellow,1,0.6493506493506493
Head of Research e-Infrastructure,1,0.6493506493506493
Advanced Research Fellow,1,0.6493506493506493
Director of research engineering,1,0.6493506493506493
Senior Research Software UI/UX Designer,1,0.6493506493506493
RSE Team Lead,1,0.6493506493506493
Energy Data Centre Lead,1,0.6493506493506493
Junior Research Fellow,1,0.6493506493506493
Systems Manager,1,0.6493506493506493
Research Software Engineering Fellow,1,0.6493506493506493
Digital Research Technologist,1,0.6493506493506493
Senior Digital Research Scientist,1,0.6493506493506493
Technical Lead,1,0.6493506493506493
Senior Research Software Engineer (Research Fellow),1,0.6493506493506493
Head of Research IT,1,0.6493506493506493
Business Development & RSE Manager,1,0.6493506493506493
Senior HPC RSE,1,0.6493506493506493
Senior Software Developer,1,0.6493506493506493
Scientific software engineer,1,0.6493506493506493
CTO ,1,0.6493506493506493
Senior Software Engineer,1,0.6493506493506493
Software developer,1,0.6493506493506493
Director of Research Engineering,1,0.6493506493506493
Senior research software developer,1,0.6493506493506493
Senior RSE,1,0.6493506493506493
Earth Observation Research Software Engineer,1,0.6493506493506493
Senior analyst developer ,1,0.6493506493506493
University Academic Fellow,1,0.6493506493506493
Senior Research and Innovation Scientist,1,0.6493506493506493
Chancellors fellow,1,0.6493506493506493
Director of RSE,1,0.6493506493506493
Assistant Director of Research,1,0.6493506493506493
Post-Doctoral Research Associate,1,0.6493506493506493
Principal Research Associate,1,0.6493506493506493
Senior Lecturer,1,0.6493506493506493
Senior Research Associate,1,0.6493506493506493
Chief Data Scientist,1,0.6493506493506493
Data scientist,1,0.6493506493506493
postdoc,1,0.6493506493506493
Senior Software Scientist,1,0.6493506493506493
"Principal Architect, Research Software Engineering Group",1,0.6493506493506493
Research Software Developer,1,0.6493506493506493
IT Support Officer,1,0.6493506493506493
Research Fellow and project Technical Officer,1,0.6493506493506493
Principal Research Data Scientist,1,0.6493506493506493
Professor of Chemical Physics and Science Communication,1,0.6493506493506493
Professor of Physical Chemistry,1,0.6493506493506493
Senior Lecturer in Molecular Physics and Astrochemistry,1,0.6493506493506493
Information Systems Programme Manager,1,0.6493506493506493
Royal Society University Research Fellow,1,0.6493506493506493
HPC Consulant,1,0.6493506493506493
Systems consultant,1,0.6493506493506493
Project Manager,1,0.6493506493506493
Research Data Engineer,1,0.6493506493506493
Lecturer in Computer Science,1,0.6493506493506493
PhD student,1,0.6493506493506493
Research Associate ,1,0.6493506493506493
Associate Professor,1,0.6493506493506493
Research scientis,1,0.6493506493506493
Computer Officer,1,0.6493506493506493
Research Data Scientist,1,0.6493506493506493
Senior software research developer,1,0.6493506493506493
Senior Research Software Development Engineer,1,0.6493506493506493
Research software developer,1,0.6493506493506493
