Official job title for World,Count,Percentage
Research Software Engineer,57,6.440677966101695
Wissenschaftlicher Mitarbeiter,44,4.971751412429379
Senior Research Software Engineer,20,2.2598870056497176
Researcher,16,1.807909604519774
Professor,11,1.2429378531073447
Postdoctoral researcher,9,1.0169491525423728
Postdoc,8,0.903954802259887
Research Associate,8,0.903954802259887
Doktorand,8,0.903954802259887
wissenschaftlicher Mitarbeiter,7,0.7909604519774011
Assistant Professor,7,0.7909604519774011
Senior Research Scientist,7,0.7909604519774011
Research Assistant,7,0.7909604519774011
Ingénieur de recherche,7,0.7909604519774011
Research assistant,6,0.6779661016949152
CEO,6,0.6779661016949152
ingénieur de recherche,6,0.6779661016949152
Scientific Programmer,6,0.6779661016949152
Wissenschaftler,6,0.6779661016949152
Research Scientist,6,0.6779661016949152
Software Engineer,5,0.5649717514124294
PhD Student,5,0.5649717514124294
Senior Scientist,5,0.5649717514124294
PhD student,5,0.5649717514124294
Software engineer,5,0.5649717514124294
Associate Professor,5,0.5649717514124294
Research Engineer,4,0.4519774011299435
Research Fellow,4,0.4519774011299435
Data Scientist,4,0.4519774011299435
PostDoc,4,0.4519774011299435
Senior Research Programmer,4,0.4519774011299435
Computational Scientist,4,0.4519774011299435
Ingénieur de Recherche,4,0.4519774011299435
Software Developer,3,0.3389830508474576
Scientific Software Developer,3,0.3389830508474576
Wissenschaftliche Mitarbeiterin,3,0.3389830508474576
Group Leader,3,0.3389830508474576
RSE,3,0.3389830508474576
Research scientist,3,0.3389830508474576
Doctoral Candidate,3,0.3389830508474576
Scientific programmer,3,0.3389830508474576
Postdoctoral Researcher,3,0.3389830508474576
Assistant professor,3,0.3389830508474576
Senior Research Fellow,3,0.3389830508474576
research software engineer,3,0.3389830508474576
Computer Scientist,3,0.3389830508474576
Research engineer,3,0.3389830508474576
Software Scientist,3,0.3389830508474576
Head of Research Software Engineering,3,0.3389830508474576
Informatiker,3,0.3389830508474576
PhD Candidate,3,0.3389830508474576
Research fellow,3,0.3389830508474576
Postdoctoral Fellow,3,0.3389830508474576
Expert en calcul scientifique,2,0.22598870056497175
Senior Scientific Software Engineer,2,0.22598870056497175
Computer Officer,2,0.22598870056497175
research scientist,2,0.22598870056497175
senior research scientist,2,0.22598870056497175
Head of Scientific Data Services,2,0.22598870056497175
Lecturer,2,0.22598870056497175
Softwareentwickler,2,0.22598870056497175
eScience Research Engineer,2,0.22598870056497175
Sr Research Software Engineer ,2,0.22598870056497175
Bioinformatician,2,0.22598870056497175
Data Analyst,2,0.22598870056497175
PhD,2,0.22598870056497175
Akademischer Rat,2,0.22598870056497175
Director,2,0.22598870056497175
Technical Lead,2,0.22598870056497175
Research software engineer,2,0.22598870056497175
Senior scientist,2,0.22598870056497175
Scientist,2,0.22598870056497175
Senior researcher,2,0.22598870056497175
Scientific Software Engineer,2,0.22598870056497175
Junior Research Group Leader,2,0.22598870056497175
Software developer,2,0.22598870056497175
Postdoctoral Research Fellow,2,0.22598870056497175
Abteilungsleiter,2,0.22598870056497175
postdoctoral researcher,2,0.22598870056497175
software developer,2,0.22598870056497175
Senior Research Software Developer,2,0.22598870056497175
Senior Software Engineer,2,0.22598870056497175
Professional Research Assistant,2,0.22598870056497175
postdoc,2,0.22598870056497175
Senior Bioinformatics Software Developer,2,0.22598870056497175
Scientific developer,2,0.22598870056497175
scientist,2,0.22598870056497175
Associate professor,2,0.22598870056497175
Staff Scientist,2,0.22598870056497175
Senior Research Associate,2,0.22598870056497175
Senior Software Developer,2,0.22598870056497175
Software Architect,2,0.22598870056497175
Research Programmer,2,0.22598870056497175
researcher,2,0.22598870056497175
Doctoral researcher,2,0.22598870056497175
Doctoral Researcher,2,0.22598870056497175
Applications Consultant,2,0.22598870056497175
Doctoral student,2,0.22598870056497175
Postdoctoral Research Associate,2,0.22598870056497175
 Scientific Software Developer,1,0.11299435028248588
Head of Department ,1,0.11299435028248588
Team Lead Helmholtz AI For Matter,1,0.11299435028248588
Full-Stack-Developer,1,0.11299435028248588
Wissenschaftliche Hilfskraft,1,0.11299435028248588
Systems consultant,1,0.11299435028248588
Project Manager,1,0.11299435028248588
Research Data Engineer,1,0.11299435028248588
Director of research engineering,1,0.11299435028248588
System Engineer,1,0.11299435028248588
Team leader,1,0.11299435028248588
Studentische Hilfskraft,1,0.11299435028248588
"Technical Director, Mandala",1,0.11299435028248588
HPC Consulant,1,0.11299435028248588
Wissenschaftlicher Mitarbeiter im Bereich Digital Humanities,1,0.11299435028248588
HPC Scientist,1,0.11299435028248588
project researcher,1,0.11299435028248588
Data Analyst (Text and Language Data),1,0.11299435028248588
Information Systems Programme Manager,1,0.11299435028248588
Group Supervisor,1,0.11299435028248588
Teamleiter,1,0.11299435028248588
Lecturer in Computer Science,1,0.11299435028248588
Project employee ,1,0.11299435028248588
Software developer/data scientist,1,0.11299435028248588
Academy Research Fellow,1,0.11299435028248588
University Academic Fellow,1,0.11299435028248588
AI Consultant,1,0.11299435028248588
Wissenschaftliche Mitarbeit für Digital Humanities und Forschungs-Software-Entwicklung für digitale Editionen,1,0.11299435028248588
wissenschaftlicher Softwareentwickler,1,0.11299435028248588
Software Entwickler,1,0.11299435028248588
Lead Scientific Software Engineer,1,0.11299435028248588
Software Architect PANGAEA,1,0.11299435028248588
Senior Learning Designer,1,0.11299435028248588
Wissenschaftlicher Mittarbeiter ,1,0.11299435028248588
"Wissenschaftlicher Mitarbeiter, Strahlenschutzbeauftragter",1,0.11299435028248588
Software Development Coordinator,1,0.11299435028248588
Wissenchaftlicher Mitarbeiter (PostDoc),1,0.11299435028248588
Wissenschaftlicher Mitarbeiter (Doktorand),1,0.11299435028248588
Wiss. Angestellter,1,0.11299435028248588
Project researcher,1,0.11299435028248588
Project Researcher,1,0.11299435028248588
Scientific Applications Engineer,1,0.11299435028248588
"Associate Professor, Biochemistry and Biophysics",1,0.11299435028248588
DevOps engineer,1,0.11299435028248588
Curator,1,0.11299435028248588
Senior Research and Innovation Scientist,1,0.11299435028248588
PHd student,1,0.11299435028248588
Computational and Data Research Specialist,1,0.11299435028248588
University Researcher,1,0.11299435028248588
Research Associate (doctoral candidate),1,0.11299435028248588
Postdoctoral reasearcher,1,0.11299435028248588
Postdoctoral Associate,1,0.11299435028248588
Senior Research Software UI/UX Designer,1,0.11299435028248588
RSE Team Lead,1,0.11299435028248588
Senior research software developer,1,0.11299435028248588
Research Technologies Group Lead,1,0.11299435028248588
Group Manager,1,0.11299435028248588
Data engineer,1,0.11299435028248588
laboratory engineer,1,0.11299435028248588
development manager,1,0.11299435028248588
Senior Software Architect,1,0.11299435028248588
Doctorate researcher,1,0.11299435028248588
Wissenschaftlich-technischer Mitarbeiter,1,0.11299435028248588
Scientific Researcher,1,0.11299435028248588
Repository Manager,1,0.11299435028248588
Leiter der Arbeitsgruppe Bioinformatik und Informationstechnologie,1,0.11299435028248588
"Solutions architect, higher education and research",1,0.11299435028248588
"Software Engineer, Humanities Research Computing",1,0.11299435028248588
Post-doctoral researcher,1,0.11299435028248588
Arbeitsgruppenleiter,1,0.11299435028248588
software developer / tutor,1,0.11299435028248588
Applications developer,1,0.11299435028248588
Royal Society University Research Fellow,1,0.11299435028248588
technischer Mitarbeiter,1,0.11299435028248588
Full-Stack Developer,1,0.11299435028248588
Technicus O&O Profiel O,1,0.11299435028248588
Software Engineer/Developer,1,0.11299435028248588
SDC software developer,1,0.11299435028248588
Chancellors fellow,1,0.11299435028248588
Computational Scientist / Lecturer (joint appointment),1,0.11299435028248588
Head of Bioinformatics Core,1,0.11299435028248588
Wissenschaflticher Mitarbeiter,1,0.11299435028248588
Postdoctoral Appointee,1,0.11299435028248588
Physical Science Technician,1,0.11299435028248588
System Architect,1,0.11299435028248588
Akademischer Mitarbeiter,1,0.11299435028248588
HPC research software engineer,1,0.11299435028248588
Semantics Web Technologist,1,0.11299435028248588
Informatiker ,1,0.11299435028248588
Lead Data Scientist,1,0.11299435028248588
Applications Support Specialist,1,0.11299435028248588
Technical Director,1,0.11299435028248588
Information Tech Specialist,1,0.11299435028248588
Director of Research Engineering,1,0.11299435028248588
R&D S&E Mechanical Engineer,1,0.11299435028248588
Lead Dev Ops,1,0.11299435028248588
Senior analyst developer ,1,0.11299435028248588
Head of Section; Leading Scientist,1,0.11299435028248588
NSLS-II Chief Data Scientist,1,0.11299435028248588
Researcher II,1,0.11299435028248588
Programmer Analyst III,1,0.11299435028248588
Computational Physicist / Research Software Engineer,1,0.11299435028248588
Researcher / Unemployed / 'In between' permanent positions funded by external grants,1,0.11299435028248588
Senior RSE,1,0.11299435028248588
Earth Observation Research Software Engineer,1,0.11299435028248588
IE,1,0.11299435028248588
Junior Research Fellow,1,0.11299435028248588
Data Science Informatician,1,0.11299435028248588
JProf.,1,0.11299435028248588
Senior Staff Software Engineer,1,0.11299435028248588
Senior Research Network Engineer,1,0.11299435028248588
Digital Humanities Officer,1,0.11299435028248588
Auxiliary Researcher,1,0.11299435028248588
Head of Research IT,1,0.11299435028248588
Research Group Leader,1,0.11299435028248588
Research software developer,1,0.11299435028248588
Principal Enterprise Fellow,1,0.11299435028248588
Geschäftsführer,1,0.11299435028248588
Geodaten-Manager,1,0.11299435028248588
Lead Developer Scientific Software,1,0.11299435028248588
Application Developer,1,0.11299435028248588
wissenschaftlich:e Mitarbeiter:in,1,0.11299435028248588
statistical programmer,1,0.11299435028248588
Beschäftigter,1,0.11299435028248588
Reserach Software Engineer,1,0.11299435028248588
Scientific consultant,1,0.11299435028248588
"Senior <software> developer, for a particular value of <software>",1,0.11299435028248588
CTO ,1,0.11299435028248588
Digital Research Technologist,1,0.11299435028248588
Wissenschaftlich Angestellter,1,0.11299435028248588
Senior Digital Research Scientist,1,0.11299435028248588
Bioinformatics intern,1,0.11299435028248588
*,1,0.11299435028248588
Senior Research Software Engineer (Research Fellow),1,0.11299435028248588
Business Development & RSE Manager,1,0.11299435028248588
Senior HPC RSE,1,0.11299435028248588
Research Software Engineering Fellow,1,0.11299435028248588
System Administrator,1,0.11299435028248588
Ingénieur de recherche en informatique,1,0.11299435028248588
Veterinäroberrätin,1,0.11299435028248588
Senior Data Scientist,1,0.11299435028248588
WiMi,1,0.11299435028248588
Forskare,1,0.11299435028248588
HPC Consultant/Software Integration Specialist,1,0.11299435028248588
Supercomputing services and support Consultant,1,0.11299435028248588
Software Developer/Data Scientist,1,0.11299435028248588
Computational Biologist,1,0.11299435028248588
Applications & Architecture Manager,1,0.11299435028248588
Student assistant,1,0.11299435028248588
Nachwuchsgruppenleiter,1,0.11299435028248588
assistant professor,1,0.11299435028248588
Research Data Management and Research Software Engineering,1,0.11299435028248588
Data Scientist / Postdoctoral Fellow,1,0.11299435028248588
Principal Research Software Engineer / Adjunct Professor of Business Administration,1,0.11299435028248588
Pedologist,1,0.11299435028248588
Data Science Specialist,1,0.11299435028248588
I contract with multiple research software orgs - industry and DOE lab,1,0.11299435028248588
Research Software engineer,1,0.11299435028248588
Faculty Research Assistant,1,0.11299435028248588
"Director, Research Software Engineering",1,0.11299435028248588
Research Scientist/Postdoctoral Researcher,1,0.11299435028248588
Data scientist ,1,0.11299435028248588
Advanced Research Fellow,1,0.11299435028248588
Senior Research & Development Engineer,1,0.11299435028248588
Software Developer 2,1,0.11299435028248588
Research Professional,1,0.11299435028248588
Senior Applications Programmer/ Analyst,1,0.11299435028248588
Semantics Web technologist,1,0.11299435028248588
Software Systems Engineer,1,0.11299435028248588
Principal Research Engineer,1,0.11299435028248588
Senior Research Computing Officer,1,0.11299435028248588
Staff,1,0.11299435028248588
Ingénieur,1,0.11299435028248588
Technology Lead,1,0.11299435028248588
ingenieur d'etudes,1,0.11299435028248588
Bioinformaticien,1,0.11299435028248588
Scientific software engineer,1,0.11299435028248588
Systems Manager,1,0.11299435028248588
Software Developer for Telescope Control,1,0.11299435028248588
Scientist/Expert Mathematics and Staistics,1,0.11299435028248588
Principal Computer Scientist,1,0.11299435028248588
research assistant,1,0.11299435028248588
Quantitative UX Researcher,1,0.11299435028248588
Senior Systems Developer,1,0.11299435028248588
eScience research Engineer,1,0.11299435028248588
Head Software Engineering group,1,0.11299435028248588
IT developer,1,0.11299435028248588
Senior Scientific Engineer,1,0.11299435028248588
Student Researcher,1,0.11299435028248588
Reseach Software Engineer,1,0.11299435028248588
Ingénieur de recherche ,1,0.11299435028248588
Energy Data Centre Lead,1,0.11299435028248588
R Developer - Consultant,1,0.11299435028248588
Senior Enterprise Fellow,1,0.11299435028248588
computational biologist,1,0.11299435028248588
Head of Research e-Infrastructure,1,0.11299435028248588
Phd Candidate,1,0.11299435028248588
Technischer Mitarbeiter,1,0.11299435028248588
Developer / Data Scientist,1,0.11299435028248588
Research Data Analyst,1,0.11299435028248588
Senior Specialist,1,0.11299435028248588
Sr Research Software Engineer,1,0.11299435028248588
Senior application specialist,1,0.11299435028248588
Technical support for research and education.,1,0.11299435028248588
Groupleader,1,0.11299435028248588
Prof,1,0.11299435028248588
research associate,1,0.11299435028248588
Ontwikkelaar ICT,1,0.11299435028248588
Full Professor,1,0.11299435028248588
Ingénieur Recherche,1,0.11299435028248588
Master student,1,0.11299435028248588
Directeur Digitale Infrastructuur,1,0.11299435028248588
Ph.D. Researcher,1,0.11299435028248588
Senior eScience Research Engineer,1,0.11299435028248588
Technical Specialist,1,0.11299435028248588
Ingénieur en développement et déploiement d'applications ; Ingénieur d’exploitation sur grand instrument,1,0.11299435028248588
wissenschaftliche Mitarbeiterin,1,0.11299435028248588
Ingénieur en ingénierie logicelle,1,0.11299435028248588
Director of RSE,1,0.11299435028248588
Ingénieur de recherche confirmé Bioinformatique,1,0.11299435028248588
ingénieur d'étude développeur Web,1,0.11299435028248588
Gestionnaire de parc informatique et télécommunications ,1,0.11299435028248588
Assistant en ingénierie logicielle,1,0.11299435028248588
Responsable Informatique,1,0.11299435028248588
Ingénieure en génie logiciel,1,0.11299435028248588
Ingénieur de Recherche (Research Engineer),1,0.11299435028248588
Doctorant en hydrologie,1,0.11299435028248588
Ingénieur de Recherche : Expert en Calcul Scientifique,1,0.11299435028248588
wissenschaftlicher Angestellter,1,0.11299435028248588
Predoctoral Scholar,1,0.11299435028248588
Section Head,1,0.11299435028248588
Associate Research Scholar,1,0.11299435028248588
Senior Software Design Engineer,1,0.11299435028248588
Wissenschaftliche:r Mitarbeiter:in,1,0.11299435028248588
Team Manager,1,0.11299435028248588
Ingenieur de Recherche,1,0.11299435028248588
Product Manager,1,0.11299435028248588
Digital Humanities Coordinator,1,0.11299435028248588
Werkstudent,1,0.11299435028248588
ELN Support and RDM consultant,1,0.11299435028248588
PostDoc Bioinformatik,1,0.11299435028248588
Referent,1,0.11299435028248588
Wiss. Mitarbeiter,1,0.11299435028248588
Wissenschaftlicher Mitarbeiter ,1,0.11299435028248588
maitre de conférences en bioinformatique,1,0.11299435028248588
Researcher ,1,0.11299435028248588
Project Lead,1,0.11299435028248588
Senior research assistant,1,0.11299435028248588
Mathematiker,1,0.11299435028248588
Postdoktorant,1,0.11299435028248588
rse,1,0.11299435028248588
Unix Admin,1,0.11299435028248588
Predoctoral fellow,1,0.11299435028248588
Data Steward,1,0.11299435028248588
Posdoctoral Researcher,1,0.11299435028248588
Research Data Managament Coordinator,1,0.11299435028248588
ingenieur,1,0.11299435028248588
Scientific associate & PhD candidate,1,0.11299435028248588
Chief Technology Officer,1,0.11299435028248588
Student ,1,0.11299435028248588
Senior Software Test Manager,1,0.11299435028248588
wiss. Mitarbeiter,1,0.11299435028248588
Instrumentation Engineer II,1,0.11299435028248588
"Manager, Research Computing",1,0.11299435028248588
Chief Scientist,1,0.11299435028248588
Digital Projects Lead,1,0.11299435028248588
Astrophysicist,1,0.11299435028248588
Bioinformatic software engineer ,1,0.11299435028248588
"Lead Software Developer, Computational Physics",1,0.11299435028248588
Machine Intelligence Engineer,1,0.11299435028248588
Compiler Engineer,1,0.11299435028248588
"R&D S&E, Computer Science",1,0.11299435028248588
Deputy Project Lead for Computer Science,1,0.11299435028248588
senior software engineer,1,0.11299435028248588
Research Data Services Lead,1,0.11299435028248588
"PhD (but in Denmark PhDs are staff, not student)",1,0.11299435028248588
Graduate Student,1,0.11299435028248588
Principal Research Data Scientist,1,0.11299435028248588
senior chief expert molecular techniques,1,0.11299435028248588
Scientist - Software engineer,1,0.11299435028248588
Senior Bioinformatician,1,0.11299435028248588
Scientific researcher,1,0.11299435028248588
Scientific staff,1,0.11299435028248588
Staff Employee,1,0.11299435028248588
Sponsored Research Staff,1,0.11299435028248588
"Manager, Cyberinfrastructure and Partnerships - Vermont EPSCoR",1,0.11299435028248588
Research Fellow and project Technical Officer,1,0.11299435028248588
IT Support Officer,1,0.11299435028248588
Graduate assistant,1,0.11299435028248588
Associate Research Scientist,1,0.11299435028248588
Founder,1,0.11299435028248588
Assistant Director of Research,1,0.11299435028248588
Post-Doctoral Research Associate,1,0.11299435028248588
Gruppenleiter,1,0.11299435028248588
HPC Architect,1,0.11299435028248588
Principal Research Associate,1,0.11299435028248588
Senior Lecturer,1,0.11299435028248588
Profesor adjunto,1,0.11299435028248588
Doctoral candidate,1,0.11299435028248588
Chief Data Scientist,1,0.11299435028248588
Data scientist,1,0.11299435028248588
Data scientist/physical oceanographer,1,0.11299435028248588
"Research fellow, PhD student",1,0.11299435028248588
Senior Software Scientist,1,0.11299435028248588
Archive project scientist,1,0.11299435028248588
Experimental scientist,1,0.11299435028248588
Senior Research Computing Engineer,1,0.11299435028248588
CTO,1,0.11299435028248588
"Principal Architect, Research Software Engineering Group",1,0.11299435028248588
Research Software Developer,1,0.11299435028248588
Mid-Level Software engineer,1,0.11299435028248588
Scientific Programmer - Bioinformatician,1,0.11299435028248588
Programmbereichsleiter,1,0.11299435028248588
Project Research Associate,1,0.11299435028248588
Data Science Software Engineer,1,0.11299435028248588
Web Developer ,1,0.11299435028248588
Bioinformatics tool developer,1,0.11299435028248588
Expert calcul scientifique,1,0.11299435028248588
"Group leader, reasercher",1,0.11299435028248588
Research scientis,1,0.11299435028248588
Software scientist,1,0.11299435028248588
Clinical Research Associate,1,0.11299435028248588
Senior Research Engineer,1,0.11299435028248588
Leiter Sachgebiet (Leading Scientist),1,0.11299435028248588
IS Professional 5A,1,0.11299435028248588
Senior Research Analyst,1,0.11299435028248588
HPC Systems Programmer,1,0.11299435028248588
Postdoc Research Fellow,1,0.11299435028248588
Lead Software Engineer,1,0.11299435028248588
Research Data Scientist,1,0.11299435028248588
Senior software research developer,1,0.11299435028248588
Senior Research Software Development Engineer,1,0.11299435028248588
Scientific worker,1,0.11299435028248588
Senior Information Analyst,1,0.11299435028248588
application programmer/analyst,1,0.11299435028248588
Senior Associate Scientist,1,0.11299435028248588
Senior Research Engagement Engineer,1,0.11299435028248588
Senior bioinformatics scientist,1,0.11299435028248588
ingénieur expert en calcul scientifique,1,0.11299435028248588
Climate Scientist,1,0.11299435028248588
Senior Manager Research,1,0.11299435028248588
Predoctoral Researcher,1,0.11299435028248588
ICT Developer,1,0.11299435028248588
Research Computing Lead,1,0.11299435028248588
Systems Programmer / Back-end Systems Software Developer / IT RC Systems Professional IV,1,0.11299435028248588
graduate student,1,0.11299435028248588
"senior specialist, information systems",1,0.11299435028248588
PhD Student ,1,0.11299435028248588
Associate prof.,1,0.11299435028248588
Backend Developer,1,0.11299435028248588
Programmer Analyst,1,0.11299435028248588
Research Chemist,1,0.11299435028248588
Mathematician,1,0.11299435028248588
Numerical Scientists/Research Software Engineer,1,0.11299435028248588
Scientific system designer,1,0.11299435028248588
Senior engineer,1,0.11299435028248588
Physicist,1,0.11299435028248588
Materials Reserach Engineer,1,0.11299435028248588
Chemical Engineer,1,0.11299435028248588
Supervisory Materials Research Engineer,1,0.11299435028248588
Wissenschaftlicher Mitarbeiter (PostDoc),1,0.11299435028248588
Application specialist,1,0.11299435028248588
IOOS DMAC Software developer,1,0.11299435028248588
Research Fellow in Data Science,1,0.11299435028248588
Data Science Facilitator,1,0.11299435028248588
cheffe de projet SI,1,0.11299435028248588
data scientist,1,0.11299435028248588
ingénieur de recherche calcul,1,0.11299435028248588
keine; steht nichts im Arbeitsvertrag,1,0.11299435028248588
programme manager,1,0.11299435028248588
senior engineer,1,0.11299435028248588
Directeur d'unité,1,0.11299435028248588
Senior Public Health Officer,1,0.11299435028248588
Senior Research Officer / Facility Fellow,1,0.11299435028248588
IT Applications and Architecture Manager,1,0.11299435028248588
DevOps/Administrator und Entwickler,1,0.11299435028248588
Owner of a company,1,0.11299435028248588
Professeur adjoint,1,0.11299435028248588
Estudiante de doctorado,1,0.11299435028248588
data analyst,1,0.11299435028248588
Head of unit,1,0.11299435028248588
assitant professor,1,0.11299435028248588
bioinformatician,1,0.11299435028248588
Akademische Mitarbeiterin,1,0.11299435028248588
PhD student ,1,0.11299435028248588
Post doc,1,0.11299435028248588
senior research engineer,1,0.11299435028248588
Doctorant,1,0.11299435028248588
PhD candidate,1,0.11299435028248588
Ingénieur Chercheur,1,0.11299435028248588
Projektkoordinator,1,0.11299435028248588
Senior Lecturer in Molecular Physics and Astrochemistry,1,0.11299435028248588
Checheur CNRS,1,0.11299435028248588
Professor of Physical Chemistry,1,0.11299435028248588
Professor of Chemical Physics and Science Communication,1,0.11299435028248588
Ingénieur chercheur en calcul scientifique ,1,0.11299435028248588
IT Specialist,1,0.11299435028248588
Principal Research Scientist (Instrument Scientist),1,0.11299435028248588
Ingénieure d'étude,1,0.11299435028248588
Research Software Engineer ,1,0.11299435028248588
Digital Sciences Engineer,1,0.11299435028248588
directeur de recherche,1,0.11299435028248588
Instructor,1,0.11299435028248588
Data Software Architect,1,0.11299435028248588
Ingénieure R&D,1,0.11299435028248588
Research Associate ,1,0.11299435028248588
System developer,1,0.11299435028248588
Physical Scientist,1,0.11299435028248588
Research-engineer,1,0.11299435028248588
Developer/Data Scientist,1,0.11299435028248588
Stellvertretende Abteilungsleiterin | Gruppenleitung Sustainable Software Engineering,1,0.11299435028248588
Consultant,1,0.11299435028248588
IT engineer,1,0.11299435028248588
IR,1,0.11299435028248588
Beamline scientist,1,0.11299435028248588
IT Consultant,1,0.11299435028248588
Independent consultant,1,0.11299435028248588
Doctoral Fellow,1,0.11299435028248588
Directeur de Reccherche,1,0.11299435028248588
ingénieur d'étude en calcul scientifique,1,0.11299435028248588
Ingénieur de recherche en calcul scientifique,1,0.11299435028248588
ingénieur de recherche en calcul scientifique,1,0.11299435028248588
Senior Faculty Specialist,1,0.11299435028248588
