Attending a national conference of RSE/RSD for Australia,Count,Percentage,Percentage in 2018,Difference with previous year
Yes,26,92.85714285714286,74.66666666666667,18.19047619047619
No,2,7.142857142857142,25.333333333333336,-18.190476190476193
