Citation of software for Australia,Count,Percentage,Percentage in 2018,Difference with previous year
1 (None at all),,,,
2,1.0,3.571428571428571,3.4090909090909087,0.16233766233766245
3,3.0,10.714285714285714,9.090909090909092,1.6233766233766218
4,,,,
5,1.0,3.571428571428571,5.681818181818182,-2.1103896103896105
6,2.0,7.142857142857142,2.272727272727273,4.870129870129869
7,2.0,7.142857142857142,3.4090909090909087,3.7337662337662336
8,4.0,14.285714285714285,11.363636363636363,2.9220779220779214
9,3.0,10.714285714285714,9.090909090909092,1.6233766233766218
10 (All the time),10.0,35.714285714285715,31.818181818181817,3.8961038961038987
