How many years of software development experience for Germany (without 95 percentile),Results in 2022,Results in 2018
count,187.0,313.0
mean,6.679144385026738,9.16373801916933
std,3.6298854088237307,6.232969341795405
min,0.0,0.0
25%,4.0,4.0
50%,6.0,8.0
75%,10.0,13.0
max,14.0,28.0
