Type of funding for Australia,Count,Percentage,Percentage in 2018,Difference with previous year
Institutional support,19.0,59.375,52.52525252525253,6.849747474747467
Grants,13.0,40.625,32.323232323232325,8.301767676767675
Consulting & services,5.0,15.625,16.161616161616163,-0.5366161616161627
other. Which of the following sources are used to pay for your effort as a Research Software Engineer? ,2.0,6.25,0.0,6.25
Industry support,1.0,3.125,10.1010101010101,-6.9760101010101
Foundations & consortiums,1.0,3.125,1.0101010101010102,2.1148989898989896
I volunteer my time,0.0,0.0,20.2020202020202,-20.2020202020202
Venture capital,0.0,0.0,1.0101010101010102,-1.0101010101010102
Open core,0.0,0.0,1.0101010101010102,-1.0101010101010102
Membership,0.0,0.0,1.0101010101010102,-1.0101010101010102
