Citation of software for South Africa,Count,Percentage,Percentage in 2018,Difference with previous year
1 (None at all),,,,
2,,,,
3,,,,
4,1.0,50.0,,
5,,,,
6,,,,
7,,,,
8,,,,
9,,,,
10 (All the time),1.0,50.0,19.047619047619047,30.952380952380953
