Contract type for World,Count,Percentage,Percentage in 2018,Difference with previous year
Full Time,833,89.66630785791173,88.3130081300813,1.3532997278304322
Part-time,92,9.903121636167922,10.873983739837398,-0.9708621036694751
Prefer not to say,4,0.4305705059203444,0.8130081300813009,-0.3824376241609565
