Number of software projects for United States,Count,Percentage,Percentage in 2018,Difference with previous year
0.0,3,2.112676056338028,1.5267175572519083,0.5859584990861197
1.0,16,11.267605633802818,12.977099236641221,-1.7094936028384033
2.0,27,19.014084507042252,28.24427480916031,-9.230190302118057
3.0,50,35.2112676056338,22.137404580152673,13.073863025481128
4.0,16,11.267605633802818,10.687022900763358,0.58058273303946
5.0,11,7.746478873239436,12.977099236641221,-5.230620363401785
6.0,4,2.8169014084507045,3.816793893129771,-0.9998924846790667
7.0,2,1.4084507042253522,0.7633587786259541,0.6450919255993981
8.0,2,1.4084507042253522,1.5267175572519083,-0.11826685302655604
10.0,4,2.8169014084507045,3.0534351145038165,-0.23653370605311208
13.0,1,0.7042253521126761,,
15.0,6,4.225352112676056,,
