Nature of employment for New Zealand,Count,Percentage,Percentage in 2018,Difference with previous year
Permanent -- funded by Institution core funding,13,48.148148148148145,35.13513513513514,13.013013013013008
Permanent -- funded by project funds,9,33.33333333333333,27.027027027027028,6.3063063063063005
Fixed term -- funded by project funds,4,14.814814814814813,24.324324324324326,-9.509509509509513
"Fixed term -- Freelancer, consultant, contractor",1,3.7037037037037033,,
