Use of version control for United Kingdom,Count,Percentage,Percentage in 2018,Difference with previous year
Git,149.0,85.14285714285714,84.32203389830508,0.8208232445520594
SVN,14.0,8.0,22.45762711864407,-14.45762711864407
Mercurial,3.0,1.7142857142857144,9.745762711864407,-8.031476997578693
None,2.0,1.1428571428571428,1.694915254237288,-0.5520581113801453
CVS,0.0,0.0,4.661016949152542,-4.661016949152542
